step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
54,54.0,32659200.0,0.024194791687151895,0.03142448885688804,0.27110911547049865,0.02979313662432755,0.02489387614579263,0.08972491168732347
55,55.0,33264000.0,0.02506718055738548,0.032190049969548565,0.27616380248326877,0.03075978361481844,0.02565908949084595,0.09160356515568252
56,56.0,33868800.0,0.02595521681215262,0.032962981669875366,0.2812202213563744,0.03174159466634764,0.02643576163747163,0.09349058505195833
57,57.0,34473600.0,0.02685891322906484,0.03374332174725165,0.28627839871267824,0.032738574974496164,0.027223914898745212,0.09538599743602565
58,58.0,35078400.0,0.02777828266820005,0.034531108039231165,0.29133836120255147,0.033750729814713595,0.02802357166507824,0.0972898284218652
59,59.0,35683200.0,0.028713338072224984,0.03532637843176416,0.29640013550403127,0.03477806454240065,0.028834754404377223,0.0992021041777338
60,60.0,36288000.0,0.029664092466518202,0.03612917085942365,0.30146374832297806,0.035820584592992144,0.02965748566220312,0.10112285092633494
61,61.0,36892800.0,0.030630558959293556,0.03693952330563219,0.30652922639323327,0.036878295482040475,0.03049178806193133,0.10305209494498976
62,62.0,37497600.0,0.0316127507417242,0.03775747380288894,0.31159659647677723,0.03795120280529957,0.031337684304912204,0.10498986256580846
63,63.0,38102400.0,0.0326106810880671,0.03858306043299725,0.31666588536388746,0.039039312238809305,0.03219519717063205,0.10693618017586208
64,64.0,38707200.0,0.033624363355788084,0.03941632132729255,0.3217371198732969,0.040142629538980366,0.03306434951687468,0.10889107421735457
65,65.0,39312000.0,0.034653810985687386,0.040257294666870724,0.32681032685235273,0.041261160542679656,0.03394516427988345,0.1108545711877955
66,66.0,39916800.0,0.0356990375020257,0.04110601868281685,0.3318855331771753,0.04239491116731611,0.03483766447452381,0.11282669764017292
67,67.0,40521600.0,0.0367600565126508,0.0419625316564344,0.33696276575281714,0.04354388741092704,0.03574187319444644,0.11480748018312682
68,68.0,41126400.0,0.03783688170912464,0.04282687191947477,0.34204205151342254,0.04470809535226489,0.03665781361225076,0.11679694548112281
69,69.0,41731200.0,0.03892952686685096,0.04369907785436732,0.34712341742238706,0.04588754115088455,0.03758550897964916,0.11879512025462638
70,70.0,42336000.0,0.040038005845203485,0.04457918789444978,0.3522068904725176,0.04708223104723111,0.03852498262763154,0.12080203128027747
71,71.0,42940800.0,0.041162332587654574,0.04546724052419905,0.3572924976861924,0.048292171362728065,0.03947625796663058,0.12281770539106546
72,72.0,43545600.0,0.042302521121904434,0.04636327427946249,0.36238026611552177,0.049517368499866043,0.04043935848668734,0.12484216947650452
73,73.0,44150400.0,0.04345858556001085,0.04726732774768956,0.3674702228425083,0.050757828942292006,0.04141430775761753,0.12687545048280954
74,74.0,44755200.0,0.044630540098519446,0.04817943956816394,0.37256239497920823,0.05201355925489893,0.04240112942917823,0.12891757541307222
75,75.0,45360000.0,0.04581839901859444,0.04909964843223601,0.37765680966789233,0.053284566083915956,0.043399847231235175,0.13096857132743786
76,76.0,45964800.0,0.04702217668615,0.05002799308355582,0.3827534940812075,0.05457085615699903,0.04441048497393054,0.1330284653432821
77,77.0,46569600.0,0.04824188755198204,0.05096451231830647,0.38785247542233847,0.05587243628332206,0.04543306654785128,0.13509728463538886
78,78.0,47174400.0,0.049477546151900635,0.05190924498543785,0.39295378092516964,0.057189313353668475,0.04646761592419798,0.1371750564361277
79,79.0,47779200.0,0.0507291671068629,0.05286222998690093,0.3980574378544475,0.05852149434052338,0.04751415715495425,0.13926180803563248
80,80.0,48384000.0,0.05199676512310642,0.05382350627788238,0.403163473505943,0.05986898629816612,0.048572714373056665,0.14135756678197992
81,81.0,48988800.0,0.05328035499228325,0.05479311286703965,0.4082719152066142,0.06123179636276335,0.0496433117925652,0.14346236008136876
82,82.0,49593600.0,0.05457995159159439,0.05577108881673655,0.41338279031476954,0.0626099317524626,0.05072597370883426,0.14557621539829924
83,83.0,50198400.0,0.055895569883924856,0.056757473243279136,0.41849612622023086,0.06400339976748631,0.051820724498684176,0.14769916025575322
84,84.0,50803200.0,0.057227224917979214,0.057752305317152156,0.42361195034449706,0.06541220779022641,0.05292758862057331,0.14983122223537432
