step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
21,21.0,12700800.0,0.0018947547739583438,0.0030102305444786037,0.049085328383813305,0.004691246338077977,0.0047637596191393,0.019995151005310765
22,22.0,13305600.0,0.0020635213377887475,0.003186069978407691,0.05142811672310386,0.004991821967308814,0.0050456163705767925,0.020987110934318903
23,23.0,13910400.0,0.002239466554451638,0.003364994280310249,0.053771487494775075,0.005299425961557523,0.005332547194039061,0.021982763054116956
24,24.0,14515200.0,0.0024225956854266664,0.003547020626384707,0.056115452801264,0.005614060068121245,0.005624561825189872,0.022982117047727887
25,25.0,15120000.0,0.0026129140293744435,0.0037321662132943564,0.05846002475649065,0.005935726070604434,0.0059216700342332625,0.0239851826229753
26,26.0,15724800.0,0.0028104269221891423,0.003920448258268721,0.06080521548592882,0.006264425788953303,0.006223881625983044,0.02499196951254948
27,27.0,16329600.0,0.00301513973705133,0.004111883999205096,0.06315103712667709,0.006600161079490487,0.006531206439932537,0.0260024874740735
28,28.0,16934400.0,0.003227057884481031,0.004306490694770268,0.06549750182752985,0.006942933834949916,0.006843654350324533,0.027016746290169598
29,29.0,17539200.0,0.0034461868123910203,0.004504285624502408,0.06784462174904847,0.007292745984511902,0.007161235266221476,0.02803475576852567
30,30.0,18144000.0,0.003672532006140346,0.004705286088913139,0.07019240906363254,0.007649599493838445,0.007483959131575884,0.029056525741961943
31,31.0,18748800.0,0.0039060989885880875,0.004909509409589785,0.07254087595559129,0.00801349636510874,0.0078118359253009926,0.030082066068497854
32,32.0,19353600.0,0.0041468933201473405,0.005116972929297792,0.07489003462121505,0.008384438637054912,0.008144875661341627,0.031111386631419068
33,33.0,19958400.0,0.004394920598839438,0.005327694012083336,0.07723989726884678,0.008762428384997955,0.008483088388745308,0.032144497339344685
34,34.0,20563200.0,0.004650186460348402,0.0055416900433761,0.07959047611895387,0.009147467720883894,0.00882648419173359,0.03318140812629464
35,35.0,21168000.0,0.004912696578075631,0.005758978430092237,0.08194178340419983,0.009539558793320153,0.009175073189773618,0.03422212895175722
36,36.0,21772800.0,0.005182456663194815,0.005979576600737512,0.08429383136951626,0.009938703787612151,0.009528865537649932,0.035266669800756836
37,37.0,22377600.0,0.005459472464707095,0.006203502005510626,0.08664663227217487,0.010344904925800098,0.009887871425536494,0.03631504068392194
38,38.0,22982400.0,0.005743749769496444,0.006430772116406718,0.08900019838185955,0.010758164466696021,0.010252101079068947,0.0373672516375531
39,39.0,23587200.0,0.006035294402385296,0.006661404427321052,0.09135454198073865,0.011178484705920998,0.010621564759417114,0.03842331272369121
40,40.0,24192000.0,0.006334112226190397,0.0068954164541528895,0.09370967536353733,0.011605867975942612,0.010996272763357722,0.03948323403018608
41,41.0,24796800.0,0.006640209141778906,0.007132825734909539,0.09606561083760998,0.012040316646112622,0.011376235423347364,0.04054702567076492
42,42.0,25401600.0,0.006953591088124717,0.0073736498298105965,0.09842236072301278,0.012481833122704851,0.0117614631075957,0.04161469778510119
43,43.0,26006400.0,0.007274264042365032,0.007617906321392365,0.10077993735257641,0.012930419848953288,0.012151966220138883,0.04268626053888364
44,44.0,26611200.0,0.007602234019857163,0.007865612814612465,0.10313835307197884,0.013386079305090415,0.012547755200913233,0.043761724123885376
45,45.0,27216000.0,0.007937507074235569,0.00811678693695463,0.10549762023981818,0.01384881400838575,0.012948840525829135,0.04484109875803328
46,46.0,27820800.0,0.008280089297469142,0.008371446338533681,0.10785775122768573,0.014318626513184602,0.013355232706845183,0.0459243946854775
